word_id,transcription
a01-000u-00-00,A
a01-000u-00-01,MOVE
a01-000u-00-02,to
a01-000u-00-03,stop
a01-000u-00-04,Mr.
a01-000u-00-05,Gaitskell
a01-000u-00-06,from
a01-000u-01-00,nominating
a01-000u-01-01,any
a01-000u-01-02,more
a01-000u-01-03,Labour
a01-000u-01-04,life
a01-000u-01-05,Peers
a01-000u-02-00,is
a01-000u-02-01,to
a01-000u-02-02,be
a01-000u-02-03,made
a01-000u-02-04,at
a01-000u-02-05,a
a01-000u-02-06,meeting
a01-000u-02-07,of
a01-000u-02-08,Labour
a01-000u-03-00,Ps
a01-000u-03-01,tomorrow
a01-000u-03-02,.
a01-000u-03-03,Mr.
a01-000u-03-04,Michael
a01-000u-03-05,Foot
a01-000u-03-06,has
a01-000u-04-00,put
a01-000u-04-01,down
a01-000u-04-02,a
a01-000u-04-03,resolution
a01-000u-04-04,on
a01-000u-04-05,the
a01-000u-04-06,subject
a01-000u-05-00,and
a01-000u-05-01,he
a01-000u-05-02,is
a01-000u-05-03,to
a01-000u-05-04,be
a01-000u-05-05,backed
a01-000u-05-06,by
a01-000u-05-07,Mr.
a01-000u-05-08,Will
a01-000u-06-00,Griffiths
a01-000u-06-01,","
a01-000u-06-02,P
a01-000u-06-03,for
a01-000u-06-04,Manchester
a01-000u-06-05,Exchange
a01-000u-06-06,.
a01-000x-00-00,A
a01-000x-00-01,MOVE
a01-000x-00-02,to
a01-000x-00-03,stop
a01-000x-00-04,Mr.
a01-000x-00-05,Gaitskell
a01-000x-00-06,from
a01-000x-00-07,nominating
a01-000x-01-00,any
a01-000x-01-01,more
a01-000x-01-02,Labour
a01-000x-01-03,life
a01-000x-01-04,Peers
a01-000x-01-05,is
a01-000x-01-06,to
a01-000x-01-07,be
a01-000x-01-08,made
a01-000x-01-09,at
a01-000x-01-10,a
a01-000x-02-00,meeting
a01-000x-02-01,of
a01-000x-02-02,Labour
a01-000x-02-03,Ps
a01-000x-02-04,tomorrow
a01-000x-02-05,.
a01-000x-02-06,Mr.
a01-000x-02-07,Michael
a01-000x-03-00,Foot
a01-000x-03-01,has
a01-000x-03-02,put
a01-000x-03-03,down
a01-000x-03-04,a
a01-000x-03-05,resolution
a01-000x-03-06,on
a01-000x-03-07,the
a01-000x-03-08,subject
a01-000x-04-00,and
a01-000x-04-01,he
a01-000x-04-02,is
a01-000x-04-03,to
a01-000x-04-04,be
a01-000x-04-05,backed
a01-000x-04-06,by
a01-000x-04-07,Mr.
a01-000x-04-08,Will
a01-000x-04-09,Griffiths
a01-000x-04-10,","
a01-000x-05-00,P
a01-000x-05-01,for
a01-000x-05-02,Manchester
a01-000x-05-03,Exchange
a01-000x-05-04,.
a01-003-00-00,Though
a01-003-00-01,they
a01-003-00-02,may
a01-003-00-03,gather
a01-003-00-04,some
a01-003-00-05,Left-wing
a01-003-00-06,support
a01-003-00-07,","
a01-003-00-08,a
a01-003-01-00,large
a01-003-01-01,majority
a01-003-01-02,of
a01-003-01-03,Labour
a01-003-01-04,Ps
a01-003-01-05,are
a01-003-01-06,likely
a01-003-01-07,to
a01-003-02-00,turn
a01-003-02-01,down
a01-003-02-02,the
a01-003-02-03,Foot-Griffiths
a01-003-02-04,resolution
a01-003-02-05,.
a01-003-02-06,Mr.
a01-003-03-00,Foot's
a01-003-03-01,line
a01-003-03-02,will
a01-003-03-03,be
a01-003-03-04,that
a01-003-03-05,as
a01-003-03-06,Labour
a01-003-03-07,Ps
a01-003-04-00,opposed
a01-003-04-01,the
a01-003-04-02,Government
a01-003-04-03,Bill
a01-003-04-04,which
a01-003-04-05,brought
a01-003-05-00,life
a01-003-05-01,peers
a01-003-05-02,into
a01-003-05-03,existence
a01-003-05-04,","
a01-003-05-05,they
a01-003-05-06,should
a01-003-05-07,not
a01-003-06-00,now
a01-003-06-01,put
a01-003-06-02,forward
a01-003-06-03,nominees
a01-003-06-04,.
a01-003-06-05,He
a01-003-06-06,believes
a01-003-07-00,that
a01-003-07-01,the
a01-003-07-02,House
a01-003-07-03,of
a01-003-07-04,Lords
a01-003-07-05,should
a01-003-07-06,be
a01-003-07-07,abolished
a01-003-08-00,and
a01-003-08-01,that
a01-003-08-02,Labour
a01-003-08-03,should
a01-003-08-04,not
a01-003-08-05,take
a01-003-08-06,any
a01-003-08-07,steps
a01-003-09-00,which
a01-003-09-01,would
a01-003-09-02,appear
a01-003-09-03,to
a01-003-09-04,""""
a01-003-09-05,prop
a01-003-09-06,up
a01-003-09-07,""""
a01-003-09-08,an
a01-003-09-09,out-dated
a01-003-10-00,institution
a01-003-10-01,.
a01-003u-00-00,Though
a01-003u-00-01,they
a01-003u-00-02,may
a01-003u-00-03,gather
a01-003u-00-04,some
a01-003u-00-05,Left-wing
a01-003u-01-00,support
a01-003u-01-01,","
a01-003u-01-02,a
a01-003u-01-03,large
a01-003u-01-04,majority
a01-003u-01-05,of
a01-003u-01-06,Labour
a01-003u-02-00,Ps
a01-003u-02-01,are
a01-003u-02-02,likely
a01-003u-02-03,to
a01-003u-02-04,turn
a01-003u-02-05,down
a01-003u-02-06,the
a01-003u-02-07,Foot-
a01-003u-03-00,Griffiths
a01-003u-03-01,resolution
a01-003u-03-02,.
a01-003u-03-03,Mr.
a01-003u-03-04,Foot's
a01-003u-03-05,line
a01-003u-03-06,will
a01-003u-04-00,be
a01-003u-04-01,that
a01-003u-04-02,as
a01-003u-04-03,Labour
a01-003u-04-04,Ps
a01-003u-04-05,opposed
a01-003u-04-06,the
